,cleaned_text,Sentiment
0,enjoying beautiful day park, Positive  
1,traffic terrible morning, Negative  
2,finished amazing workout, Positive  
3,excited upcoming weekend getaway, Positive  
4,trying new recipe dinner tonight, Neutral   
5,feeling grateful little thing life, Positive  
6,rainy day call cozy blanket hot cocoa, Positive  
7,new movie release mustwatch, Positive  
8,political discussion heating timeline, Negative  
9,missing summer vibe beach day, Neutral   
10,published new blog post check, Positive  
11,feeling bit weather today, Negative  
12,exploring city hidden gem, Positive  
13,new year new fitness goal, Positive  
14,technology changing way live, Neutral   
15,reflecting past looking ahead, Positive  
16,adopted cute furry friend, Positive  
17,latenight gaming session friend, Positive  
18,attending virtual conference ai, Neutral   
19,winter blue got feeling low, Negative  
20,sipping coffee enjoying good book, Positive  
21,exploring world virtual reality, Positive  
22,productive day ticking todo list, Positive  
23,finished challenging workout routine, Positive  
24,celebrating milestone work, Positive  
25,sunday brunch friend, Positive  
26,learning new language personal growth, Positive  
27,quiet evening good book, Positive  
28,reflecting importance mental health, Positive  
29,new painting progress, Positive  
30,weekend road trip explore scenic view, Positive  
31,enjoying cup tea watching sunset, Positive  
32,coding new project enthusiasm, Positive  
33,feeling inspired attending workshop, Positive  
34,winter sport day local park, Positive  
35,quality time family weekend, Positive  
36,attending live music concert tonight, Positive  
37,practicing mindfulness meditation, Positive  
38,trying new dessert recipe, Positive  
39,excited upcoming gaming tournament, Positive  
40,planning garden makeover spring, Positive  
41,celebrating friend birthday tonight, Positive  
42,feeling accomplished productive day, Positive  
43,cozy evening good movie, Positive  
44,exploring local art gallery weekend, Positive  
45,new book release favorite author, Positive  
46,attending virtual reality meetup, Positive  
47,reflecting beauty nature, Positive  
48,cooking special dinner loved one, Positive  
49,feeling optimistic week ahead, Positive  
50,starting new fitness challenge tomorrow, Positive  
51,sunday bike ride scenic trail, Positive  
52,cant believe injustice happening society, Anger        
53,feeling sense fear watching thriller movie, Fear         
54,heartbroken hearing news natural disaster, Sadness      
55,state world environment disgusting, Disgust      
56,pure happiness celebrating loved one achievement, Happiness    
57,laughter best medicineenjoying comedy show, Joy          
58,sharing love positive vibe everyone, Love         
59,amusing incident brightened day, Amusement    
60,enjoying quiet evening book tea, Enjoyment    
61,admiring beauty nature peaceful hike, Admiration   
62,sending affectionate vibe follower, Affection    
63,experiencing awe breathtaking sunset, Awe          
64,disappointed service local restaurant, Disappointed 
65,surprise gift friend made day, Surprise     
66,finding acceptance midst life challenge, Acceptance   
67,overflowing adoration adorable pet, Adoration    
68,anticipating thrilling adventure coming week, Anticipation 
69,bitter experience turned valuable lesson, Bitter       
70,finding calmness midst busy day, Calmness     
71,confusion cloud mind navigate decision, Confusion    
72,excitement building upcoming vacation, Excitement   
73,kindness witnessed today restored faith humanity, Kind         
74,pride achieving personal milestone, Pride        
75,moment shame standing injustice, Shame        
76,fuming anger heated argument, Anger        
77,fear unknown keeping night, Fear         
78,heartfelt sadness bidding farewell dear friend, Sadness      
79,state corruption society utterly disgusting, Disgust      
80,overflowing happiness welcoming new family member, Happiness    
81,laughter key joyattending standup comedy show, Joy          
82,sending love follower beautiful day, Love         
83,amused antic petits pure amusement, Amusement    
84,enjoying every moment trippure enjoyment, Enjoyment    
85,admiring dedication volunteer local charity, Admiration   
86,sending affectionate vibe friend family, Affection    
87,awestruck beauty night sky, Awe          
88,disappointed lack progress personal project, Disappointed 
89,surprise visit old friend brought tear joy, Surprise     
90,embracing acceptance life ups down, Acceptance   
91,overflowing adoration cute rescue puppy, Adoration    
92,anticipating release muchawaited movie, Anticipation 
93,bitter experience customer service department, Bitter       
94,finding calmness amidst chaos daily life, Calmness     
95,confusion reign try make sense recent event, Confusion    
96,excitement building surprise birthday party, Excitement   
97,witnessed act kindness made day, Kind         
98,pride completing challenging fitness challenge, Pride        
99,moment shame speaking injustice, Shame        
100,reflecting beauty diversity world, Acceptance   
101,excitement quiet evening good book, Excitement   
102,feeling bitter unfairness workplace, Bitter       
103,calmness prevails practice mindfulness, Calmness     
104,confusion surround navigate life choice, Confusion 
105,excitement weekend road trip explore new place, Excitement 
106,kindness witnessed today restores faith humanity, Kind         
107,pride accomplishing personal professional goal, Pride        
108,shame true value difficult situation, Shame 
109,revisiting old memory feeling sense elation, Elation       
110,victory team brought euphoria city, Euphoria      
111,embracing beauty nature moment contentment, Contentment   
112,meditating serene lake finding inner peace, Serenity      
113,overflowing gratitude life blessing, Gratitude     
114,hopeful brighter tomorrow despite challenge, Hope          
115,empowered make difference community, Empowerment   
116,compassion action supporting local charity event, Compassion    
117,moment tenderness connecting loved one, Tenderness    
118,arousal excitement await special announcement, Arousal       
119,enthusiastically diving new project, Enthusiasm    
120,feeling sense fulfillment reaching milestone, Fulfillment  
121,reverence beauty historic landmark, Reverence     
122,elation surprise reunion old friend, Elation       
123,euphoria live music concert star, Euphoria      
124,contentment simplicity quiet sunday, Contentment   
125,serenity found page favorite book, Serenity      
126,gratitude support received tough time, Gratitude     
127,hopeful possibility new journey, Hope          
128,empowerment learning personal growth, Empowerment   
129,compassion towards need holiday, Compassion    
130,tenderness warmth cozy winter evening, Tenderness    
131,arousal excitement upcoming adventure, Arousal       
132,enthusiasm creative project making, Enthusiasm    
133,fulfillment completing challenging workout routine, Fulfillment  
134,reverence artistry displayed museum, Reverence     
135,elation achieving personal goal, Elation       
136,elation discovering hidden gem city, Elation       
137,euphoria surprise birthday celebration, Euphoria      
138,contentment simplicity homecooked meal, Contentment   
139,serenity found melody peaceful piano, Serenity      
140,gratitude supportive community around, Gratitude     
141,hopeful prospect new business venture, Hope          
142,empowerment mentoring guiding others, Empowerment   
143,compassion shown act kindness community, Compassion
144,tenderness heartfelt message loved one, Tenderness    
145,arousal excitement muchawaited trip, Arousal       
146,enthusiasm new artistic project work, Enthusiasm    
147,feeling sense fulfillment helping others, Fulfillment   
148,reverence historical significance landmark, Reverence 
149,elation achieving fitness milestone, Elation       
150,euphoria successful product launch, Euphoria      
151,contentment embrace loved one, Contentment   
152,serenity found beauty sunset sea, Serenity      
153,gratitude small joy day brings, Gratitude     
154,hopeful potential personal growth, Hope          
155,empowerment learning new skill, Empowerment   
156,compassion volunteering local charity, Compassion    
157,tenderness quiet moment shared pet, Tenderness    
158,arousal excitement upcoming festival, Arousal       
159,enthusiasm diy home improvement project, Enthusiasm    
160,fulfillment completing challenging puzzle, Fulfillment   
161,reverence wonder nature hiking trail, Reverence 
162,elation surprise reunion childhood friend, Elation   
163,suffering despair another setback, Despair         
164,overwhelmed grief missing loved one dearly, Grief           
165,loneliness creep night grows colder, Loneliness      
166,jealousy consumes witness others success, Jealousy        
167,resentment building past betrayal, Resentment      
168,frustration mount obstacle block path, Frustration     
169,boredom set day feel endlessly dull, Boredom         
170,anxiety grip heart worry cloud thought, Anxiety         
171,intimidation unknown future ahead, Intimidation    
172,helplessness sink challenge pile, Helplessness    
173,envy eats away see others prosperity, Envy            
174,regret missed opportunity haunt thought, Regret         
175,disgust sight injustice cruelty, Disgust         
176,drowning despair hope slipping finger, Despair      
177,grief weighs heavy tear constant companion, Grief           
178,loneliness crowded room silent cry connection, Loneliness 
179,jealousy gnaws confidence toxic emotion, Jealousy        
180,resentment fester poisoning relationship, Resentment      
181,frustration boil volcanic eruption emotion, Frustration 
182,boredom settle like dust life feel mundane, Boredom         
183,anxiety grip chest relentless grip thought, Anxiety   
184,intimidation challenge ahead fear take hold, Intimidation 
185,helplessness engulfs drowning sea problem, Helplessness 
186,envy poison thought coveting others success, Envy            
187,regret decision led painful present, Regret         
188,disgust corruption stain society, Disgust         
189,sinking despair day darker last, Despair         
190,grief overwhelms storm emotion within, Grief           
191,loneliness echo empty space yearning connection, Loneliness 
192,jealousy poison thought resentment brewing within, Jealousy    
193,resentment fester wound refuse heal, Resentment      
194,frustration escalates thunderstorm emotion, Frustration     
195,boredom lingers stagnant pool indifference, Boredom         
196,embarking journey discovery fueled curiosity thirst knowledge, Curiosity       
197,lost vast sea information indifferent wave digital ocean, Indifference    
198,complex puzzle life leaf state perpetual confusion seeking answer chaos, Confusion       
199,numbness settle shield overwhelming emotion life throw way, Numbness        
200,gazing sunset melancholic longing moment slip finger time, Melancholy      
201,revisiting old photograph caught embrace nostalgia bittersweet symphony, Nostalgia       
202,torn conflicting emotion ambivalence paint decision shade uncertainty, Ambivalence     
203,embracing ebb flow life finding acceptance dance existence, Acceptance      
204,facing challenge headon determination fuel fire within achieve impossible, Determination   
205,serenity found stillness nature tranquil retreat chaos modern world, Serenity        
206,curiosity leading rabbit hole knowledge perpetual student life classroom, Curiosity       
207,floating day air indifference detached mundane happening around, Indifference    
208,entangled web thought confusion reigning navigate labyrinth idea, Confusion       
209,numb chaos emotion locked away stoic facade concealing inner turmoil, Numbness        
210,melancholy whisper breeze silent conversation echo forgotten dream, Melancholy      
211,stumbling upon old journal nostalgia flooding wave carrying moment long gone, Nostalgia       
212,tapestry conflicting feeling weaving uncertainty caught thread ambivalence, Ambivalence     
213,embracing flaw finding acceptance imperfection journey towards selflove, Acceptance      
214,determination burning like wildfire overcoming obstacle turning dream reality, Determination   
215,tranquil moment ocean serenity washing peaceful retreat within wave embrace, Serenity        
216,exploring new horizon spark curiosity adventurer vast landscape knowledge, Curiosity       
217,drifting day nonchalant demeanor embracing art indifference, Indifference    
218,wrestling thought perplexed mind lost labyrinth life complexity, Confusion       
219,immersed state emotional numbness shield storm daily struggle, Numbness        
220,melancholic symphony playing background soundtrack wistful heart, Melancholy      
221,flipping page old yearbook nostalgia painting smile tear face, Nostalgia       
222,torn opposing emotion ambivalence color decision shade uncertainty, Ambivalence     
223,embracing life imperfection finding acceptance journey scar, Acceptance      
224,fiery determination burning within fueled vision reaching unparalleled height, Determination   
225,basking serenity quiet forest whisper nature bring peace soul, Serenity        
226,indifferent noise world silent observer midst life cacophony, Indifference    
227,navigating labyrinth thought confusion constant companion maze idea, Confusion       
228,impenetrable numbness shield emotional storm fortress stoic resilience, Numbness        
229,melancholy painting world hue nostalgia canvas bittersweet memory, Melancholy      
230,journey past flipping page old diary nostalgia taking lead, Nostalgia       
231,ambivalence clouding decision caught crossroad conflicting emotion, Ambivalence     
232,embracing imperfection finding acceptance mosaic life beautiful chaos, Acceptance      
233,determination driving force propelling forward path extraordinary achievement, Determination   
234,seeking serenity melody raindrop tranquil escape noise everyday life, Serenity        
235,curiosity driving exploration unknown seeker knowledge uncharted territory, Curiosity       
236,drifting day air nonchalance indifferent triviality life, Indifference    
237,lost labyrinth thought confusion casting shadow quest clarity, Confusion       
238,wrapped cloak emotional numbness shield storm life turbulence, Numbness        
239,melancholy companion painting canvas life brushstrokes wistful yearning, Melancholy      
240,leafing page old photo album nostalgia weaving tale laughter tear, Nostalgia       
241,ambivalence air caught crossroad conflicting emotion decision, Ambivalence     
242,embracing beauty imperfection finding acceptance mosaic life unpredictable art, Acceptance      
243,determination ablaze forging path challenge sculpting dream tangible reality, Determination   
244,immerse serenity moonlit night quiet whisper nature bring peace soul, Serenity        
245,fueled curiosity venturing uncharted realm fearless explorer mystery world, Curiosity       
246,wrapped cloak emotional numbness shield storm life turbulence, Numbness 
247,dancing life exuberance carefree spirit embracing joy zest every turn, Zest 
248,basking golden glow contentment serene river flowing landscape heart, Contentment 
249,gazing towards horizon hopeful eye painting canvas dream illuminated sun optimism, Hopeful 
250,standing tall proud oak branch achievement reaching towards sky accomplishment, Proud 
251,heart overflowing gratitude garden appreciation bloom soil kindness connection, Grateful 
252,extending hand empathetic thread weaving tapestry understanding embracing joy sorrow others, Empathetic 
253,compassionate cloud heavy care showering empathy parched ground human suffering, Compassionate 
254,playfully dancing rain laughter whimsical spirit twirling puddle joy lightheartedness, Playful 
255,soaring wing free spirit unburdened chain conformity painting sky independence, Free-spirited 
256,bathed glow inspiration creative phoenix rising ash ordinary thought explore new realm, Inspired 
257,navigating sea hope sailing towards sunrise possibility confident ship positive anticipation, Hopeful 
258,striding confidence footprint selfassuredness imprinted sand challenge conquered victory claimed, Confident 
259,lost symphony night moonlit serenade whisper tale wanderlust moonlit dream, Serenity 
260,unveiling layer curiosity labyrinth question leading treasure trove undiscovered knowledge, Curiosity 
261,embrace autumn breeze leaf ambivalence dancing waltz choice uncertainty, Ambivalence 
262,gratitude guiding star navigating constellation blessing vast universe life precious moment, Grateful 
263,zestful heart sprinting field enthusiasm chasing sunbeam laughter meadow joy, Zest 
264,compassionate rain tear empathy falling gently nurturing seed kindness garden human connection, Compassionate 
265,proudly scaling peak achievement mountaineer conquering challenge planting flag success, Proud 
266,embraced hopeful dawn gardener sowing seed optimism tending bloom brighter tomorrow, Hopeful 
267,playful escapade carnival life carousel laughter cotton candy dream swirling joyous atmosphere, Playful 
268,floating cloud inspiration artist painting sky stroke creativity creating masterpiece dream, Inspired 
269,navigating river contentment serene boat cruise tranquil water inner peace acceptance, Contentment 
270,empathy lantern wandering dark alley sorrow illuminating path compassion care, Empathetic 
271,free spirit soaring wing dream leaving trail independence azure sky boundless possibility, Free-spirited 
272,bathed golden hue gratefulness sunset appreciation casting warm glow landscape heart, Grateful 
273,confident stride dance life ballroom selfassuredness lead twirling challenge grace, Confident 
274,hopeful whisper wind carrying promise brighter tomorrow symphony optimism air possibility, Hopeful 
275,playfully juggling responsibility circus performer balancing act work joy tossing laughter air, Playful 
276,whispering tale inspiration star storyteller crafting constellation thread imagination, Inspired 
277,charting course wave hopeful anticipation sailor steering towards shore dream yet unexplored, Hopeful 
278,compassionate rain tear empathy falling gently nurturing seed kindness garden human connection, Compassionate 
279,proudly scaling peak achievement mountaineer conquering challenge planting flag success, Proud 
280,embraced hopeful dawn gardener sowing seed optimism tending bloom brighter tomorrow, Hopeful 
281,playful escapade carnival life carousel laughter cotton candy dream swirling joyous atmosphere, Playful 
282,floating cloud inspiration artist painting sky stroke creativity creating masterpiece dream, Inspired 
283,navigating river contentment serene boat cruise tranquil water inner peace acceptance, Contentment 
284,empathy lantern wandering dark alley sorrow illuminating path compassion care, Empathetic 
285,free spirit soaring wing dream leaving trail independence azure sky boundless possibility, Free-spirited 
286,bathed golden hue gratefulness sunset appreciation casting warm glow landscape heart, Grateful 
287,confident stride dance life ballroom selfassuredness lead twirling challenge grace, Confident 
288,hopeful whisper wind carrying promise brighter tomorrow symphony optimism air possibility, Hopeful 
289,playfully juggling responsibility circus performer balancing act work joy tossing laughter air, Playful 
290,whispering tale inspiration star storyteller crafting constellation thread imagination, Inspired 
291,charting course wave hopeful anticipation sailor steering towards shore dream yet unexplored, Hopeful 
292,compassionate rain tear empathy falling gently nurturing seed kindness garden human connection, Compassionate 
293,proudly scaling peak achievement mountaineer conquering challenge planting flag success, Proud 
294,embraced hopeful dawn gardener sowing seed optimism tending bloom brighter tomorrow, Hopeful 
